,MAILLE
HYG_JDM,827252
VIS_JEUNE_ET_LEVRE,717362
HYG_PLAISIRNAT_BAIN_SAVON,661139
CORPS_HYDRA_NOURRI_ET_SOINS,509741
MAQ_ONGLES,455199
PARF_PARFUM,356537
MAQ_YEUX_MASCA_EYEL_FARD,328194
MAQ_YEUX_CLASSIQUE,327628
MAQ_TEINT,293879
VIS_AAAR_HORS_DEMAQLOTION,285328
HYG_MONOI_ET_EDIT_SPEC,239395
PARF_EDT,201244
CAPILLAIRE_SHAMPOING,196320
CORPS_HYDR_LAIT_HUILE,192691
VIS_PUR,178136
VIS_AUTRES,174541
SOLAIRE,152485
HYG_PARFUMEE,141550
MAQ_LEV_RAL_HMG,139006
CAPILLAIRE_AUTRE,103863
CORPS_SPA_ET_MINCEUR,98606
MAQ_LEV_BASPRIX,93789
VIS_AAAR_DEMAQLOTION,92912
HYG_HOMME,92281
CORPS_MONOI,73247
PARF_HOMME,68514
HYG_CULTUREBIO,62863
HYG_AUTRES,55636
MAQ_YEUX_MASCA_HG,48151
VIS_HOMMES,30138
VIS_BIO,9402
MAQ_AUTRE,6256
MULTIFAMILLES,30
DIETETIQUE,1
